0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7292271283085996,4.378241115531654,2.0761041165685254,1.1140215565359939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.523290184779043,d6893042
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6249400484633094,4.763726110773313,2.5564693773937712,1.2813363850062416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.452168189470903,d5709647
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.101317006525747,5.453891100802898,3.7378948883623324,1.8213348156106386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.340134079135886,d919596
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.779455440086241,4.8250843658145435,2.837465041625677,1.3915438451180477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.05924496047878,d6893040
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.394822108221037,6.74069896680985,3.517199899044263,1.6623125325865347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.54072977449595,d919590
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.191268380661851,4.378241115531654,2.711112450661313,1.3915438451180477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.897862059807135,d5338110
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.461545187074743,4.698133002500823,2.837465041625677,1.3915438451180477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.61438334415356,d6893041
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.394822108221037,6.794600532814753,3.472473375718465,1.641173711252069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.528765995840594,d919593
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0697356343784112,4.378241115531654,2.711112450661313,1.3410536321100859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.725839100515735,d919597
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.531776886731662,4.8250843658145435,2.5564693773937712,1.2813363850062416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.42036328278049,d919595
3,1,2.4748028615886537,2.9341953493478843,0.0,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.072330499557447,5.127845645564832,0.0,1.5943027400365466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.49421976895706,d5709645
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.155762326074033,5.422717062785493,3.85366680694147,1.8213348156106386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4791772792459,d5338108
3,1,2.4748028615886537,2.9341953493478843,2.5259553840360347,2.290742672861697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3830328266022094,4.468854693552653,2.5564693773937712,1.3915438451180477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.02559701050095,d5709646
