label,qid,doc_id,tf-idf_sum
0.818433326,q101120,d7586891,22.07699981
0.815043425,q101120,d1095710,21.87468323
0.815043425,q101120,d5736315,21.87468323
0.784500039,q101120,d8536688,21.93957835
0.784500039,q101120,d1790556,21.84668486
0.784500039,q101120,d7325174,21.50670314
0.741972838,q101120,d5476587,22.50352166
0.720092538,q101120,d7967962,22.19163034
0.719166495,q101120,d5167219,22.62572002
0.714471128,q101120,d1095708,22.82842564
0.704656966,q101120,d3229780,24.69500053
0.677384221,q101120,d882282,23.90835042
0.677384221,q101120,d882284,23.74099777
0.677384221,q101120,d1095709,23.67875986
0.537389509,q101120,d3356894,21.47799587
0.435291208,q101120,d4048969,21.51326581
0.349382317,q101120,d7933294,21.48302731
0.341349541,q101120,d882278,21.28639358
0.341349541,q101120,d7600631,21.16556119
0.283651031,q101120,d6075783,20.87337731
0.283044627,q101120,d3729460,20.35951732
0.283044627,q101120,d2117600,20.27430515
0.279869932,q101120,d5167221,20.66664717
0.279869932,q101120,d6075784,20.57375368
0.254470842,q101120,d882280,20.21898312
0.079350791,q101120,d882279,19.98703424
0.039669172,q101120,d8630832,19.9807547
-0.000428943,q101120,d882275,19.71873054
-0.000428943,q101120,d882283,19.65391996
-0.086098484,q101120,d3729459,18.20178901
-0.090870334,q101120,d7003511,18.99052339
-0.224637899,q101120,d7003513,17.89465916
-0.282865174,q101120,d882276,17.56846319
-0.856114434,q101120,d7450207,6.595039411
-0.856114434,q101120,d7450207,6.595039411
-0.856114434,q101120,d6864657,6.595039411
-0.862216113,q101120,d5360179,7.054786813
-0.867074347,q101120,d4915915,5.069090977
-0.867074347,q101120,d4816398,5.069090977
-0.867074347,q101120,d3134172,5.069090977
-0.867074347,q101120,d4216647,5.069090977
-0.867074347,q101120,d8222395,5.069090977
-0.867074347,q101120,d5531325,5.069090977
-0.867074347,q101120,d6047199,5.069090977
-0.867074347,q101120,d7821400,5.069090977
-0.867074347,q101120,d6801479,5.069090977
-0.867074347,q101120,d5696214,5.069090977
-0.88992128,q101120,d4565653,7.764714155
-1.070190567,q101120,d385209,4.18273412
-1.070190567,q101120,d385204,4.18273412
-1.070190567,q101120,d7121589,4.18273412
-1.070190567,q101120,d145770,4.18273412
-1.070190567,q101120,d7394958,4.18273412
-1.070190567,q101120,d3932585,4.18273412
-1.132427264,q101120,d626709,3.856538148
-1.132427264,q101120,d5715300,3.856538148
-1.132427264,q101120,d346908,3.856538148
-1.132427264,q101120,d465075,3.856538148
-1.132427264,q101120,d145774,3.856538148
-1.132427264,q101120,d4077172,3.856538148
-1.132427264,q101120,d896236,3.856538148
-1.15292208,q101120,d8106266,3.396790747
-1.15292208,q101120,d13687,3.396790747
-1.15292208,q101120,d3498836,3.396790747
-1.15292208,q101120,d7803306,3.396790747
-1.15292208,q101120,d20870,3.396790747
-1.15292208,q101120,d492003,3.396790747
-1.15292208,q101120,d1959514,3.396790747
-1.15292208,q101120,d138751,3.396790747
-1.15292208,q101120,d173316,3.396790747
-1.15292208,q101120,d55711,3.396790747
-1.15292208,q101120,d145773,3.396790747
-1.384027832,q101120,d7003512,9.294857794
-2.043914935,q101120,d738535,2.610847373
-2.043914935,q101120,d830852,2.610847373
-2.043914935,q101120,d8574425,2.610847373
-2.043914935,q101120,d830844,2.610847373
-2.043914935,q101120,d5205271,2.610847373
-2.043914935,q101120,d5047584,2.610847373
-2.043914935,q101120,d8209688,2.610847373
-2.043914935,q101120,d8600751,2.610847373
-2.043914935,q101120,d4405755,2.610847373
-2.043914935,q101120,d559613,2.610847373
-2.043914935,q101120,d5205020,2.610847373
-2.043914935,q101120,d666352,2.610847373
-2.043914935,q101120,d940443,2.610847373
-2.043914935,q101120,d3436836,2.610847373
-2.043914935,q101120,d105854,2.610847373
-2.043914935,q101120,d4589735,2.610847373
-2.043914935,q101120,d5743279,2.610847373
-2.043914935,q101120,d3890952,2.610847373
-2.043914935,q101120,d8386339,2.610847373
-2.043914935,q101120,d5603074,2.610847373
-2.043914935,q101120,d7457619,2.610847373
-2.043914935,q101120,d782525,2.610847373
-2.043914935,q101120,d7443784,2.610847373
-2.043914935,q101120,d2869975,2.610847373
-2.043914935,q101120,d6636993,2.610847373
-2.043914935,q101120,d3155388,2.610847373
-2.043914935,q101120,d6829947,2.610847373
0.907408926,q101361,d884257,25.94785886
0.860125516,q101361,d8379781,25.20522926
0.837709255,q101361,d1288590,27.17187674
0.789955162,q101361,d884260,29.62161505
0.789955162,q101361,d3922588,29.45716257
0.789955162,q101361,d884258,28.75104232
0.789955162,q101361,d6622917,28.60407458
0.783194276,q101361,d5663631,28.86631997
0.783194276,q101361,d8379782,28.55397117
0.781288996,q101361,d884259,27.28225269
0.766773031,q101361,d3825141,27.9731902
0.766451604,q101361,d6600120,25.82698816
0.69555594,q101361,d3825140,26.32101345
0.535024613,q101361,d884264,25.82908609
0.388530481,q101361,d7654489,19.74393337
0.383609518,q101361,d1073995,18.4771286
0.360732312,q101361,d5277588,15.29715225
0.344505793,q101361,d6588888,25.22366675
0.339891914,q101361,d884256,25.45834357
0.324370377,q101361,d8455201,15.88651194
0.201467017,q101361,d559612,13.65309464
0.186476616,q101361,d884263,23.29703218
0.157705123,q101361,d5277589,11.80005962
0.120802658,q101361,d1073986,11.37174295
0.082731989,q101361,d2340195,22.29725044
0.057476325,q101361,d7386675,22.07392022
0.043702736,q101361,d3755544,13.89466705
0.020543108,q101361,d714546,14.79684963
0.014456807,q101361,d3755545,12.24018482
0.014456807,q101361,d6500833,11.84192251
0.014456807,q101361,d6529030,11.84192251
0.014456807,q101361,d3997249,11.74316388
0.014456807,q101361,d7894693,11.74316388
0.014456807,q101361,d26449,11.63120059
0.014456807,q101361,d4417,11.63120059
0.008594543,q101361,d1073993,16.10813055
-2.82E-05,q101361,d1073994,16.08608315
-0.002435712,q101361,d559615,14.16538293
-0.006223869,q101361,d884262,21.9128596
-0.012785929,q101361,d335818,15.42522297
-0.012785929,q101361,d3997253,15.28994
-0.012785929,q101361,d1073989,14.56959198
-0.030028112,q101361,d5692554,15.0037761
